City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,aitape,-3.1374,142.3475,78.69,87,99,7.78,PG,1691697764
129,mount isa,-20.7333,139.5,46.17,93,6,4.61,AU,1691697764
130,taber,49.8167,-112.1518,80.44,27,21,12.66,CA,1691697607
131,port elizabeth,-33.918,25.5701,59.29,94,0,2.3,ZA,1691697616
132,hermanus,-34.4187,19.2345,60.75,62,0,3.0,ZA,1691697764
133,geraldton,-28.7667,114.6,55.81,94,75,4.61,AU,1691697765
134,hadibu,12.65,54.0333,78.06,81,47,14.79,YE,1691697765
135,hamilton,39.1834,-84.5333,82.74,66,40,13.8,US,1691697765
136,al jawf,29.5,38.75,89.62,23,6,9.24,SA,1691697765
137,sandnessjoen,66.0217,12.6316,64.51,59,40,4.61,NO,1691697765
138,kiunga,-6.1219,141.2906,71.22,89,95,3.71,PG,1691697766
139,hamina,60.5697,27.1979,60.08,82,45,3.0,FI,1691697766
140,tshabong,-26.05,22.45,56.05,34,0,7.61,BW,1691697766
141,nova vicosa,-17.8919,-39.3719,74.64,68,65,9.13,BR,1691697766
142,rojhan,28.6868,69.9534,93.33,47,100,17.56,PK,1691697766
143,kapa'a,22.0752,-159.319,82.38,82,12,3.0,US,1691697767
144,east london,-33.0153,27.9116,66.25,72,0,15.21,ZA,1691697767
145,pandan,14.0453,124.1694,80.38,85,100,6.31,PH,1691697767
146,el calafate,-50.3408,-72.2768,37.81,97,100,2.01,AR,1691697767
147,ebon,4.582,168.6964,83.39,72,30,8.3,MH,1691697767
148,mudanya,40.3753,28.8822,73.98,78,96,3.11,TR,1691697768
149,brookings,44.3114,-96.7984,84.54,75,100,3.0,US,1691697684
150,christchurch,-43.5333,172.6333,35.47,87,99,2.3,NZ,1691697592
151,satipo,-11.2522,-74.6386,92.03,36,44,0.85,PE,1691697768
152,cabedelo,-6.9811,-34.8339,81.27,80,7,15.99,BR,1691697768
153,hugo,45.16,-92.9933,79.79,58,100,5.75,US,1691697768
154,tromso,69.6496,18.957,57.22,88,75,5.75,NO,1691697768
155,santa rosalia,27.3167,-112.2833,90.37,52,0,8.23,MX,1691697769
156,tolga,34.7222,5.3785,97.61,19,0,6.71,DZ,1691697769
157,kuanda,56.3161,116.0806,61.09,96,100,3.89,RU,1691697769
158,puerto ayora,-0.7393,-90.3518,87.76,90,51,7.0,EC,1691697769
159,berezovyy,51.6667,135.7,55.09,88,16,2.1,RU,1691697770
160,molteno,-31.3968,26.3625,49.98,53,0,5.77,ZA,1691697770
161,urangan,-25.3,152.9,61.39,73,0,5.59,AU,1691697770
162,nadym,65.5333,72.5167,43.74,82,0,20.31,RU,1691697770
163,robore,-18.3333,-59.75,100.35,19,0,12.75,BO,1691697770
164,itamaraca,-7.7478,-34.8256,78.85,74,13,11.99,BR,1691697771
165,nova sintra,14.8667,-24.7167,73.08,75,23,17.96,CV,1691697771
166,tofol,5.3248,163.0078,83.25,72,89,5.82,FM,1691697772
167,palmer,42.1584,-72.3287,74.89,91,100,9.91,US,1691697717
168,iskateley,67.6803,53.1512,51.78,78,6,6.38,RU,1691697772
169,new norfolk,-42.7826,147.0587,48.88,93,100,3.38,AU,1691697772
170,duiwelskloof,-23.6934,30.14,56.62,55,38,2.06,ZA,1691697772
171,guanica,17.9716,-66.908,91.29,86,98,16.84,PR,1691697773
172,forster,-32.1667,152.5167,50.58,68,0,8.3,AU,1691697773
173,laguna,38.421,-121.4238,91.18,44,0,6.91,US,1691697773
174,loches,47.1333,1.0,80.94,58,36,6.17,FR,1691697773
175,waddan,29.1614,16.139,84.29,35,0,11.16,LY,1691697773
176,georgetown,5.4112,100.3354,79.95,91,20,2.3,MY,1691697619
177,saldanha,-33.0117,17.9442,59.05,75,0,6.42,ZA,1691697774
178,olonkinbyen,70.9221,-8.7187,44.51,97,100,11.61,SJ,1691697774
179,bentiu,9.2333,29.8333,75.78,80,85,4.25,SS,1691697774
180,kismayo,-0.3582,42.5454,75.78,82,43,15.48,SO,1691697774
181,carnarvon,-24.8667,113.6333,64.92,84,15,2.93,AU,1691697774
182,petropavlovsk-kamchatsky,53.0452,158.6483,46.99,93,20,8.95,RU,1691697775
183,mitu,1.1983,-70.1733,83.75,78,66,3.53,CO,1691697775
184,aioun,16.6614,-9.6149,99.59,24,62,8.68,MR,1691697775
185,magangue,9.242,-74.7547,92.35,56,100,5.12,CO,1691697775
186,bazar-korgon,41.0376,72.7459,82.53,29,85,4.56,KG,1691697775
187,bathsheba,13.2167,-59.5167,88.41,70,40,18.41,BB,1691697776
188,vadso,70.0744,29.7487,72.48,82,0,4.61,NO,1691697776
189,monywa,22.1167,95.1333,77.7,90,100,5.26,MM,1691697776
190,igarka,67.4667,86.5833,52.09,93,100,13.56,RU,1691697776
191,lompoc,34.6391,-120.4579,79.02,84,100,8.99,US,1691697776
192,lebu,-37.6167,-73.65,50.88,80,54,14.7,CL,1691697771
193,fada,9.5667,8.3,67.5,97,100,0.92,NG,1691697777
194,vorkuta,67.5,64.0,44.01,93,42,7.72,RU,1691697777
195,arno,60.1167,18.6333,55.78,88,100,11.34,SE,1691697777
196,berber,18.0216,33.983,99.59,30,98,10.49,SD,1691697777
197,al mijlad,11.0333,27.7333,84.52,57,37,4.85,SD,1691697778
198,neiafu,-18.65,-173.9833,77.68,83,75,5.75,TO,1691697778
199,prado,-17.3411,-39.2208,73.94,72,58,7.16,BR,1691697778
200,sequim,48.0795,-123.1018,70.11,71,74,1.99,US,1691697778
201,walvis bay,-22.9575,14.5053,57.09,94,49,5.75,NA,1691697778
202,tolanaro,-25.0319,46.9987,66.27,77,75,6.91,MG,1691697779
203,bandon,51.7469,-8.7425,62.19,94,74,11.59,IE,1691697779
204,westport,41.1415,-73.3579,76.32,87,100,5.99,US,1691697608
205,lypova dolyna,50.5643,33.7979,66.27,67,100,11.79,UA,1691697779
206,keelung,25.1283,121.7419,82.06,89,95,2.08,TW,1691697713
207,enewetak,11.3474,162.3373,82.96,77,35,10.54,MH,1691697779
208,santiago del torno,-17.9833,-63.3833,88.56,34,0,13.38,BO,1691697780
209,mejit,10.2753,170.8646,81.54,72,77,9.44,MH,1691697780
210,byron bay,-28.65,153.6167,52.72,73,0,5.48,AU,1691697590
211,maumere,-8.6199,122.2111,74.44,77,25,3.42,ID,1691697780
212,beroroha,-21.6667,45.1667,68.58,62,0,7.31,MG,1691697780
213,shubarshi,48.5872,57.1869,74.52,36,0,6.13,KZ,1691697781
214,cervantes,-39.05,-67.3833,68.79,24,9,28.9,AR,1691697781
215,victoria point,-27.5833,153.3,55.9,78,0,5.21,AU,1691697781
216,rakops,-21.0167,24.3333,61.38,49,0,16.33,BW,1691697781
217,wewak,-3.5534,143.6268,77.43,89,93,8.1,PG,1691697782
218,kingston,17.997,-76.7936,88.75,74,40,18.41,JM,1691697621
